Employee_ID,Dept,Attrition_Prob,Risk,Engagement,Role,Skill_Gap,Gap_Severity,Recommendation
98,Human Resources,0.32,LOW,77,ML Engineer,Docker,2,"Learn Docker -- ""Containerization Fundamentals with Docker"""
99,IT,0.09,LOW,65,Data Analyst,(none),0,No critical skill gaps -- keep up ongoing development
100,Sales,0.25,LOW,64,ML Engineer,"Docker, Machine Learning, Statistics",5,"Learn Docker -- ""Containerization Fundamentals with Docker"""
101,Sales,0.235,LOW,67,Research Scientist,"AWS, Research Methods",3,"Learn Research Methods -- ""Research Methods & Experimental Design"""
102,Sales,0.875,LOW,69,Data Analyst,Tableau,1,"Learn Tableau -- ""Data Visualization with Tableau"""
103,Research & Development,0.95,HIGH,63,HR Executive,Conflict Resolution,1,"Learn Conflict Resolution -- ""Conflict Resolution in the Workplace"""
104,Human Resources,0.095,LOW,93,Software Engineer,"Docker, Python",3,"Learn Python -- ""Python for Data & ML Practitioners"""
105,Sales,0.945,HIGH,64,Sales Executive,(none),0,No critical skill gaps -- keep up ongoing development
106,Human Resources,0.96,HIGH,64,HR Executive,"Communication, HR Compliance",2,"Learn Communication -- ""Effective Workplace Communication"""
107,Sales,0.885,MEDIUM,98,Software Engineer,"Kubernetes, Python",4,"Learn Kubernetes -- ""Container Orchestration with Kubernetes"""
108,Sales,0.925,MEDIUM,49,MLOps Engineer,Docker,2,"Learn Docker -- ""Containerization Fundamentals with Docker"""
109,IT,0.785,LOW,100,HR Executive,(none),0,No critical skill gaps -- keep up ongoing development
110,Sales,0.935,MEDIUM,52,HR Executive,"Conflict Resolution, Excel, HR Compliance, Workday",5,"Learn Workday -- ""Workday HCM Fundamentals"""
111,Research & Development,0.93,MEDIUM,58,Research Scientist,Research Methods,2,"Learn Research Methods -- ""Research Methods & Experimental Design"""
112,Research & Development,0.955,HIGH,93,ML Engineer,Python,1,"Learn Python -- ""Python for Data & ML Practitioners"""
113,Research & Development,0.985,HIGH,69,ML Engineer,(none),0,No critical skill gaps -- keep up ongoing development
114,IT,0.975,HIGH,64,Software Engineer,Kubernetes,2,"Learn Kubernetes -- ""Container Orchestration with Kubernetes"""
115,Research & Development,0.89,MEDIUM,43,Data Analyst,Statistics,2,"Learn Statistics -- ""Applied Statistics for Business"""
116,Research & Development,0.865,LOW,60,Sales Executive,(none),0,No critical skill gaps -- keep up ongoing development
117,Research & Development,0.64,LOW,64,HR Executive,Excel,1,"Learn Excel -- ""Advanced Excel for Business Analytics"""
118,Human Resources,0.965,HIGH,70,ML Engineer,MLOps,1,"Learn MLOps -- ""Deploying and Monitoring Machine Learning Systems"""
119,IT,0.865,LOW,64,ML Engineer,(none),0,No critical skill gaps -- keep up ongoing development
120,Sales,0.955,HIGH,92,HR Executive,"Communication, Workday",3,"Learn Workday -- ""Workday HCM Fundamentals"""
121,Research & Development,0.99,HIGH,85,HR Executive,(none),0,No critical skill gaps -- keep up ongoing development
122,IT,0.3,LOW,80,HR Executive,(none),0,No critical skill gaps -- keep up ongoing development
123,Research & Development,0.235,LOW,86,MLOps Engineer,"AWS, CI/CD, Cloud, MLOps",5,"Learn MLOps -- ""Deploying and Monitoring Machine Learning Systems"""
124,Research & Development,0.91,MEDIUM,64,HR Executive,HR Compliance,1,"Learn HR Compliance -- ""HR Compliance Essentials"""
125,Sales,0.925,MEDIUM,63,Research Scientist,(none),0,No critical skill gaps -- keep up ongoing development
126,Research & Development,0.9,MEDIUM,73,ML Engineer,(none),0,No critical skill gaps -- keep up ongoing development
127,IT,0.905,MEDIUM,61,ML Engineer,Machine Learning,1,"Learn Machine Learning -- ""Machine Learning Foundations"""
128,IT,0.935,MEDIUM,60,Software Engineer,"AWS, Java, System Design",4,"Learn System Design -- ""System Design for Scalable Applications"""
129,IT,0.595,LOW,54,HR Executive,HR Compliance,1,"Learn HR Compliance -- ""HR Compliance Essentials"""
130,Research & Development,0.89,MEDIUM,74,Sales Executive,"CRM Tools, Salesforce",3,"Learn Salesforce -- ""Salesforce Administration Essentials"""
131,IT,0.27,LOW,40,Sales Executive,(none),0,No critical skill gaps -- keep up ongoing development
132,IT,0.415,LOW,49,ML Engineer,"Docker, MLOps, Machine Learning, Python, Statistics",7,"Learn Docker -- ""Containerization Fundamentals with Docker"""
133,Research & Development,0.915,MEDIUM,73,Research Scientist,(none),0,No critical skill gaps -- keep up ongoing development
134,IT,0.23,LOW,75,Sales Executive,"Negotiation, Salesforce",4,"Learn Negotiation -- ""Negotiation Skills for Sales Professionals"""
135,Research & Development,0.95,HIGH,75,Data Analyst,SQL,1,"Learn SQL -- ""Practical SQL for Analysts"""
136,Sales,0.39,LOW,68,Software Engineer,(none),0,No critical skill gaps -- keep up ongoing development
137,IT,0.965,HIGH,58,ML Engineer,"AWS, Machine Learning",2,"Learn AWS -- ""Cloud Infrastructure on AWS"""
138,Human Resources,0.9,MEDIUM,65,Data Analyst,Statistics,2,"Learn Statistics -- ""Applied Statistics for Business"""
139,IT,0.285,LOW,65,Software Engineer,"Docker, Kubernetes",3,"Learn Kubernetes -- ""Container Orchestration with Kubernetes"""
140,Sales,0.97,HIGH,89,Data Analyst,"Data Visualization, Excel, Tableau",4,"Learn Excel -- ""Advanced Excel for Business Analytics"""
141,Research & Development,0.955,HIGH,98,HR Executive,Conflict Resolution,1,"Learn Conflict Resolution -- ""Conflict Resolution in the Workplace"""
142,IT,0.16,LOW,63,Software Engineer,System Design,2,"Learn System Design -- ""System Design for Scalable Applications"""
143,Sales,0.91,MEDIUM,54,Sales Executive,"CRM Tools, Negotiation, Salesforce",5,"Learn Negotiation -- ""Negotiation Skills for Sales Professionals"""
144,IT,0.885,MEDIUM,77,Research Scientist,"AWS, Statistics",3,"Learn Statistics -- ""Applied Statistics for Business"""
145,Sales,0.875,LOW,50,MLOps Engineer,(none),0,No critical skill gaps -- keep up ongoing development
146,IT,0.905,MEDIUM,65,Research Scientist,Statistics,2,"Learn Statistics -- ""Applied Statistics for Business"""
147,IT,0.905,MEDIUM,61,MLOps Engineer,(none),0,No critical skill gaps -- keep up ongoing development
148,IT,0.265,LOW,48,HR Executive,Workday,2,"Learn Workday -- ""Workday HCM Fundamentals"""
149,IT,0.925,MEDIUM,68,Sales Executive,Negotiation,2,"Learn Negotiation -- ""Negotiation Skills for Sales Professionals"""
150,Sales,0.895,MEDIUM,67,Sales Executive,Communication,1,"Learn Communication -- ""Effective Workplace Communication"""
151,Research & Development,0.895,MEDIUM,81,Software Engineer,System Design,2,"Learn System Design -- ""System Design for Scalable Applications"""
152,IT,0.175,LOW,70,Data Analyst,"Data Visualization, Excel, Statistics, Tableau",6,"Learn Excel -- ""Advanced Excel for Business Analytics"""
153,IT,0.27,LOW,100,Research Scientist,Research Methods,2,"Learn Research Methods -- ""Research Methods & Experimental Design"""
154,Human Resources,0.545,LOW,64,HR Executive,(none),0,No critical skill gaps -- keep up ongoing development
155,IT,0.27,LOW,72,Sales Executive,(none),0,No critical skill gaps -- keep up ongoing development
156,IT,0.245,LOW,69,MLOps Engineer,"Cloud, MLOps",3,"Learn MLOps -- ""Deploying and Monitoring Machine Learning Systems"""
157,Sales,0.31,LOW,54,MLOps Engineer,"CI/CD, MLOps, Terraform",4,"Learn MLOps -- ""Deploying and Monitoring Machine Learning Systems"""
158,IT,0.885,MEDIUM,84,ML Engineer,PyTorch,1,"Learn PyTorch -- ""Deep Learning with PyTorch"""
159,IT,0.865,LOW,57,Software Engineer,(none),0,No critical skill gaps -- keep up ongoing development
160,Research & Development,0.88,LOW,51,Data Analyst,(none),0,No critical skill gaps -- keep up ongoing development
161,Sales,0.675,LOW,48,Research Scientist,AWS,1,"Learn AWS -- ""Cloud Infrastructure on AWS"""
162,Research & Development,0.97,HIGH,59,Data Analyst,"Data Visualization, Excel, Statistics",5,"Learn Excel -- ""Advanced Excel for Business Analytics"""
163,Research & Development,0.245,LOW,57,MLOps Engineer,"Cloud, Docker",3,"Learn Docker -- ""Containerization Fundamentals with Docker"""
164,Research & Development,0.94,MEDIUM,70,Research Scientist,"AWS, Statistics",3,"Learn Statistics -- ""Applied Statistics for Business"""
165,Research & Development,0.145,LOW,100,Software Engineer,(none),0,No critical skill gaps -- keep up ongoing development
166,Human Resources,0.19,LOW,80,HR Executive,"Communication, Conflict Resolution, Excel, HR Compliance, Workday",6,"Learn Workday -- ""Workday HCM Fundamentals"""
167,Research & Development,0.915,MEDIUM,45,Research Scientist,Statistics,2,"Learn Statistics -- ""Applied Statistics for Business"""
168,Research & Development,0.975,HIGH,63,Data Analyst,Statistics,2,"Learn Statistics -- ""Applied Statistics for Business"""
169,Research & Development,0.835,LOW,50,ML Engineer,"AWS, Docker, PyTorch",4,"Learn Docker -- ""Containerization Fundamentals with Docker"""
170,IT,0.485,LOW,66,Research Scientist,Python,2,"Learn Python -- ""Python for Data & ML Practitioners"""
171,Sales,0.945,HIGH,69,HR Executive,"Conflict Resolution, Workday",3,"Learn Workday -- ""Workday HCM Fundamentals"""
172,Sales,0.915,MEDIUM,66,MLOps Engineer,"AWS, CI/CD, Cloud",3,"Learn AWS -- ""Cloud Infrastructure on AWS"""
173,Sales,0.99,HIGH,73,HR Executive,"Communication, Conflict Resolution, HR Compliance, Workday",5,"Learn Workday -- ""Workday HCM Fundamentals"""
174,IT,0.16,LOW,71,Research Scientist,"Python, Research Methods",4,"Learn Python -- ""Python for Data & ML Practitioners"""
175,IT,0.89,MEDIUM,91,Research Scientist,(none),0,No critical skill gaps -- keep up ongoing development
176,Human Resources,0.89,MEDIUM,61,Data Analyst,(none),0,No critical skill gaps -- keep up ongoing development
177,Research & Development,0.81,LOW,68,MLOps Engineer,"CI/CD, Kubernetes",3,"Learn Kubernetes -- ""Container Orchestration with Kubernetes"""
178,IT,0.77,LOW,61,Research Scientist,(none),0,No critical skill gaps -- keep up ongoing development
179,Sales,0.92,MEDIUM,72,MLOps Engineer,"Cloud, Docker, Kubernetes, MLOps",7,"Learn Docker -- ""Containerization Fundamentals with Docker"""
180,Sales,0.195,LOW,81,Software Engineer,(none),0,No critical skill gaps -- keep up ongoing development
181,IT,0.855,LOW,81,Sales Executive,(none),0,No critical skill gaps -- keep up ongoing development
182,Research & Development,0.87,LOW,84,Sales Executive,"Communication, Salesforce",3,"Learn Salesforce -- ""Salesforce Administration Essentials"""
183,Sales,0.96,HIGH,66,ML Engineer,"AWS, Machine Learning, PyTorch",3,"Learn AWS -- ""Cloud Infrastructure on AWS"""
184,Human Resources,0.975,HIGH,79,Software Engineer,"Docker, Kubernetes, Python",5,"Learn Kubernetes -- ""Container Orchestration with Kubernetes"""
185,Human Resources,0.6,LOW,67,Data Analyst,(none),0,No critical skill gaps -- keep up ongoing development
186,Research & Development,0.885,MEDIUM,66,Sales Executive,Excel,1,"Learn Excel -- ""Advanced Excel for Business Analytics"""
187,Sales,0.915,MEDIUM,91,Sales Executive,Salesforce,2,"Learn Salesforce -- ""Salesforce Administration Essentials"""
188,Research & Development,0.825,LOW,51,MLOps Engineer,"AWS, Terraform",2,"Learn AWS -- ""Cloud Infrastructure on AWS"""
189,Research & Development,0.95,HIGH,86,ML Engineer,(none),0,No critical skill gaps -- keep up ongoing development
190,Research & Development,0.86,LOW,52,Software Engineer,Python,2,"Learn Python -- ""Python for Data & ML Practitioners"""
191,Research & Development,0.98,HIGH,91,Research Scientist,Statistics,2,"Learn Statistics -- ""Applied Statistics for Business"""
192,Research & Development,0.895,MEDIUM,77,MLOps Engineer,"Cloud, Kubernetes, Terraform",4,"Learn Kubernetes -- ""Container Orchestration with Kubernetes"""
193,Sales,0.92,MEDIUM,46,ML Engineer,"AWS, Statistics",3,"Learn Statistics -- ""Applied Statistics for Business"""
194,Sales,0.85,LOW,63,Software Engineer,System Design,2,"Learn System Design -- ""System Design for Scalable Applications"""
195,Research & Development,0.935,MEDIUM,53,Sales Executive,Communication,1,"Learn Communication -- ""Effective Workplace Communication"""
196,IT,0.9,MEDIUM,81,HR Executive,"Communication, HR Compliance",2,"Learn Communication -- ""Effective Workplace Communication"""
197,Research & Development,0.91,MEDIUM,51,Data Analyst,Statistics,2,"Learn Statistics -- ""Applied Statistics for Business"""
198,Research & Development,0.9,MEDIUM,65,Software Engineer,Docker,1,"Learn Docker -- ""Containerization Fundamentals with Docker"""
199,Sales,0.975,HIGH,80,Sales Executive,"CRM Tools, Negotiation",3,"Learn Negotiation -- ""Negotiation Skills for Sales Professionals"""
200,Sales,0.935,MEDIUM,54,ML Engineer,"AWS, Statistics",3,"Learn Statistics -- ""Applied Statistics for Business"""
201,Research & Development,0.915,MEDIUM,77,MLOps Engineer,"Cloud, Kubernetes",3,"Learn Kubernetes -- ""Container Orchestration with Kubernetes"""
202,Research & Development,0.86,LOW,59,Sales Executive,"Excel, Negotiation",3,"Learn Negotiation -- ""Negotiation Skills for Sales Professionals"""
203,Human Resources,0.78,LOW,58,HR Executive,Communication,1,"Learn Communication -- ""Effective Workplace Communication"""
204,Research & Development,0.335,LOW,46,Sales Executive,Excel,1,"Learn Excel -- ""Advanced Excel for Business Analytics"""
205,Human Resources,0.92,MEDIUM,67,Sales Executive,Negotiation,2,"Learn Negotiation -- ""Negotiation Skills for Sales Professionals"""
206,Research & Development,0.935,MEDIUM,63,HR Executive,(none),0,No critical skill gaps -- keep up ongoing development
207,Sales,0.825,LOW,72,Research Scientist,AWS,1,"Learn AWS -- ""Cloud Infrastructure on AWS"""
208,IT,0.945,HIGH,77,Sales Executive,(none),0,No critical skill gaps -- keep up ongoing development
209,Sales,0.94,MEDIUM,71,HR Executive,(none),0,No critical skill gaps -- keep up ongoing development
210,Human Resources,0.97,HIGH,60,ML Engineer,"AWS, Docker, MLOps, Machine Learning, Statistics",7,"Learn Docker -- ""Containerization Fundamentals with Docker"""
211,Research & Development,0.955,HIGH,47,Sales Executive,CRM Tools,1,"Learn CRM Tools -- ""CRM Best Practices"""
212,Research & Development,0.86,LOW,89,Research Scientist,Statistics,2,"Learn Statistics -- ""Applied Statistics for Business"""
213,Sales,0.92,MEDIUM,66,MLOps Engineer,"Docker, Kubernetes, MLOps",6,"Learn Docker -- ""Containerization Fundamentals with Docker"""
214,IT,0.97,HIGH,95,MLOps Engineer,Kubernetes,2,"Learn Kubernetes -- ""Container Orchestration with Kubernetes"""
215,Sales,0.78,LOW,63,HR Executive,"Communication, HR Compliance, Workday",4,"Learn Workday -- ""Workday HCM Fundamentals"""
216,Research & Development,0.5,LOW,78,Software Engineer,"Docker, Java, System Design",4,"Learn System Design -- ""System Design for Scalable Applications"""
217,Sales,0.915,MEDIUM,86,Software Engineer,(none),0,No critical skill gaps -- keep up ongoing development
218,Human Resources,0.9,MEDIUM,87,Software Engineer,"AWS, Python",3,"Learn Python -- ""Python for Data & ML Practitioners"""
219,Sales,0.835,LOW,100,HR Executive,"Communication, Workday",3,"Learn Workday -- ""Workday HCM Fundamentals"""
220,Sales,0.895,MEDIUM,78,MLOps Engineer,Docker,2,"Learn Docker -- ""Containerization Fundamentals with Docker"""
221,IT,0.19,LOW,74,MLOps Engineer,Terraform,1,"Learn Terraform -- ""Infrastructure as Code with Terraform"""
222,Research & Development,0.95,HIGH,96,Software Engineer,"AWS, Python",3,"Learn Python -- ""Python for Data & ML Practitioners"""
223,Human Resources,0.93,MEDIUM,99,Software Engineer,"Java, Kubernetes, Python",5,"Learn Kubernetes -- ""Container Orchestration with Kubernetes"""
224,IT,0.865,LOW,100,Software Engineer,(none),0,No critical skill gaps -- keep up ongoing development
225,IT,0.835,LOW,92,MLOps Engineer,(none),0,No critical skill gaps -- keep up ongoing development
226,Sales,0.75,LOW,59,MLOps Engineer,"AWS, MLOps, Terraform",4,"Learn MLOps -- ""Deploying and Monitoring Machine Learning Systems"""
227,Research & Development,0.84,LOW,66,Software Engineer,System Design,2,"Learn System Design -- ""System Design for Scalable Applications"""
228,IT,0.195,LOW,84,ML Engineer,"AWS, MLOps",2,"Learn AWS -- ""Cloud Infrastructure on AWS"""
229,Sales,0.33,LOW,68,Sales Executive,"CRM Tools, Excel",2,"Learn CRM Tools -- ""CRM Best Practices"""
