EmployeeID,CurrentRole,TargetRole,MatchedSkills,MissingSkills,ReadinessToday,ReadinessAfterTraining
174,Research Scientist,ML Engineer,"['AWS', 'Statistics']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Python']",28.6,89.3
175,Research Scientist,ML Engineer,"['AWS', 'Python', 'Statistics']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch']",42.9,91.5
176,Data Analyst,Research Scientist,['Statistics'],"['AWS', 'Python', 'Research Methods']",25.0,88.8
178,Research Scientist,ML Engineer,"['AWS', 'Python', 'Statistics']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch']",42.9,91.5
180,Software Engineer,ML Engineer,"['AWS', 'Docker', 'Python']","['MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",42.9,91.5
183,ML Engineer,MLOps Engineer,"['Docker', 'MLOps']","['AWS', 'CI/CD', 'Cloud', 'Kubernetes', 'Terraform']",28.6,89.3
184,Software Engineer,ML Engineer,['AWS'],"['Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Python', 'Statistics']",14.3,87.2
185,Data Analyst,Research Scientist,['Statistics'],"['AWS', 'Python', 'Research Methods']",25.0,88.8
189,ML Engineer,MLOps Engineer,"['AWS', 'Docker', 'MLOps']","['CI/CD', 'Cloud', 'Kubernetes', 'Terraform']",42.9,91.5
190,Software Engineer,ML Engineer,"['AWS', 'Docker']","['MLOps', 'Machine Learning', 'PyTorch', 'Python', 'Statistics']",28.6,89.3
191,Research Scientist,ML Engineer,"['AWS', 'Python']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",28.6,89.3
193,ML Engineer,MLOps Engineer,"['Docker', 'MLOps']","['AWS', 'CI/CD', 'Cloud', 'Kubernetes', 'Terraform']",28.6,89.3
194,Software Engineer,ML Engineer,"['AWS', 'Docker', 'Python']","['MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",42.9,91.5
197,Data Analyst,Research Scientist,[],"['AWS', 'Python', 'Research Methods', 'Statistics']",0.0,85.0
198,Software Engineer,ML Engineer,"['AWS', 'Python']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",28.6,89.3
200,ML Engineer,MLOps Engineer,"['Docker', 'MLOps']","['AWS', 'CI/CD', 'Cloud', 'Kubernetes', 'Terraform']",28.6,89.3
207,Research Scientist,ML Engineer,"['Python', 'Statistics']","['AWS', 'Docker', 'MLOps', 'Machine Learning', 'PyTorch']",28.6,89.3
210,ML Engineer,MLOps Engineer,[],"['AWS', 'CI/CD', 'Cloud', 'Docker', 'Kubernetes', 'MLOps', 'Terraform']",0.0,85.0
212,Research Scientist,ML Engineer,"['AWS', 'Python']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",28.6,89.3
216,Software Engineer,ML Engineer,"['AWS', 'Python']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",28.6,89.3
217,Software Engineer,ML Engineer,"['AWS', 'Docker', 'Python']","['MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",42.9,91.5
218,Software Engineer,ML Engineer,['Docker'],"['AWS', 'MLOps', 'Machine Learning', 'PyTorch', 'Python', 'Statistics']",14.3,87.2
222,Software Engineer,ML Engineer,['Docker'],"['AWS', 'MLOps', 'Machine Learning', 'PyTorch', 'Python', 'Statistics']",14.3,87.2
223,Software Engineer,ML Engineer,"['AWS', 'Docker']","['MLOps', 'Machine Learning', 'PyTorch', 'Python', 'Statistics']",28.6,89.3
224,Software Engineer,ML Engineer,"['AWS', 'Docker', 'Python']","['MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",42.9,91.5
227,Software Engineer,ML Engineer,"['AWS', 'Docker', 'Python']","['MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",42.9,91.5
228,ML Engineer,MLOps Engineer,['Docker'],"['AWS', 'CI/CD', 'Cloud', 'Kubernetes', 'MLOps', 'Terraform']",14.3,87.2
230,ML Engineer,MLOps Engineer,"['AWS', 'Docker', 'MLOps']","['CI/CD', 'Cloud', 'Kubernetes', 'Terraform']",42.9,91.5
232,Software Engineer,ML Engineer,"['AWS', 'Python']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",28.6,89.3
233,Research Scientist,ML Engineer,"['Python', 'Statistics']","['AWS', 'Docker', 'MLOps', 'Machine Learning', 'PyTorch']",28.6,89.3
234,ML Engineer,MLOps Engineer,"['AWS', 'Docker', 'MLOps']","['CI/CD', 'Cloud', 'Kubernetes', 'Terraform']",42.9,91.5
239,Data Analyst,Research Scientist,[],"['AWS', 'Python', 'Research Methods', 'Statistics']",0.0,85.0
240,Research Scientist,ML Engineer,"['AWS', 'Python']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",28.6,89.3
241,Data Analyst,Research Scientist,['Statistics'],"['AWS', 'Python', 'Research Methods']",25.0,88.8
242,Research Scientist,ML Engineer,"['AWS', 'Statistics']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Python']",28.6,89.3
243,Software Engineer,ML Engineer,"['AWS', 'Python']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",28.6,89.3
245,Software Engineer,ML Engineer,"['AWS', 'Python']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",28.6,89.3
246,Data Analyst,Research Scientist,['Statistics'],"['AWS', 'Python', 'Research Methods']",25.0,88.8
247,Software Engineer,ML Engineer,"['AWS', 'Python']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",28.6,89.3
251,Data Analyst,Research Scientist,['Statistics'],"['AWS', 'Python', 'Research Methods']",25.0,88.8
253,Software Engineer,ML Engineer,['Docker'],"['AWS', 'MLOps', 'Machine Learning', 'PyTorch', 'Python', 'Statistics']",14.3,87.2
254,Research Scientist,ML Engineer,"['AWS', 'Python', 'Statistics']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch']",42.9,91.5
256,Data Analyst,Research Scientist,['Statistics'],"['AWS', 'Python', 'Research Methods']",25.0,88.8
258,Software Engineer,ML Engineer,"['AWS', 'Python']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",28.6,89.3
259,Research Scientist,ML Engineer,['Statistics'],"['AWS', 'Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Python']",14.3,87.2
261,Data Analyst,Research Scientist,[],"['AWS', 'Python', 'Research Methods', 'Statistics']",0.0,85.0
262,Research Scientist,ML Engineer,"['AWS', 'Statistics']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Python']",28.6,89.3
265,Data Analyst,Research Scientist,['Statistics'],"['AWS', 'Python', 'Research Methods']",25.0,88.8
270,Research Scientist,ML Engineer,"['Python', 'Statistics']","['AWS', 'Docker', 'MLOps', 'Machine Learning', 'PyTorch']",28.6,89.3
273,ML Engineer,MLOps Engineer,['AWS'],"['CI/CD', 'Cloud', 'Docker', 'Kubernetes', 'MLOps', 'Terraform']",14.3,87.2
274,Research Scientist,ML Engineer,"['AWS', 'Python', 'Statistics']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch']",42.9,91.5
275,ML Engineer,MLOps Engineer,"['AWS', 'Docker', 'MLOps']","['CI/CD', 'Cloud', 'Kubernetes', 'Terraform']",42.9,91.5
277,Research Scientist,ML Engineer,"['AWS', 'Python']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",28.6,89.3
279,Research Scientist,ML Engineer,"['AWS', 'Statistics']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Python']",28.6,89.3
281,Data Analyst,Research Scientist,['Statistics'],"['AWS', 'Python', 'Research Methods']",25.0,88.8
282,ML Engineer,MLOps Engineer,"['AWS', 'Docker', 'MLOps']","['CI/CD', 'Cloud', 'Kubernetes', 'Terraform']",42.9,91.5
283,Data Analyst,Research Scientist,['Statistics'],"['AWS', 'Python', 'Research Methods']",25.0,88.8
285,Data Analyst,Research Scientist,[],"['AWS', 'Python', 'Research Methods', 'Statistics']",0.0,85.0
287,Software Engineer,ML Engineer,"['AWS', 'Docker', 'Python']","['MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",42.9,91.5
288,Research Scientist,ML Engineer,['Python'],"['AWS', 'Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",14.3,87.2
292,Software Engineer,ML Engineer,"['AWS', 'Python']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",28.6,89.3
293,Data Analyst,Research Scientist,['Statistics'],"['AWS', 'Python', 'Research Methods']",25.0,88.8
294,Research Scientist,ML Engineer,"['Python', 'Statistics']","['AWS', 'Docker', 'MLOps', 'Machine Learning', 'PyTorch']",28.6,89.3
296,Software Engineer,ML Engineer,"['AWS', 'Python']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",28.6,89.3
298,Data Analyst,Research Scientist,['Statistics'],"['AWS', 'Python', 'Research Methods']",25.0,88.8
305,ML Engineer,MLOps Engineer,['Docker'],"['AWS', 'CI/CD', 'Cloud', 'Kubernetes', 'MLOps', 'Terraform']",14.3,87.2
306,ML Engineer,MLOps Engineer,['AWS'],"['CI/CD', 'Cloud', 'Docker', 'Kubernetes', 'MLOps', 'Terraform']",14.3,87.2
313,Data Analyst,Research Scientist,['Statistics'],"['AWS', 'Python', 'Research Methods']",25.0,88.8
315,ML Engineer,MLOps Engineer,"['AWS', 'Docker']","['CI/CD', 'Cloud', 'Kubernetes', 'MLOps', 'Terraform']",28.6,89.3
316,Research Scientist,ML Engineer,['Python'],"['AWS', 'Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",14.3,87.2
317,Software Engineer,ML Engineer,"['AWS', 'Docker', 'Python']","['MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",42.9,91.5
318,Research Scientist,ML Engineer,"['AWS', 'Python']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",28.6,89.3
319,Software Engineer,ML Engineer,"['AWS', 'Docker']","['MLOps', 'Machine Learning', 'PyTorch', 'Python', 'Statistics']",28.6,89.3
324,ML Engineer,MLOps Engineer,"['AWS', 'Docker', 'MLOps']","['CI/CD', 'Cloud', 'Kubernetes', 'Terraform']",42.9,91.5
325,Software Engineer,ML Engineer,['AWS'],"['Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Python', 'Statistics']",14.3,87.2
326,Data Analyst,Research Scientist,['Statistics'],"['AWS', 'Python', 'Research Methods']",25.0,88.8
327,ML Engineer,MLOps Engineer,['Docker'],"['AWS', 'CI/CD', 'Cloud', 'Kubernetes', 'MLOps', 'Terraform']",14.3,87.2
328,Data Analyst,Research Scientist,['Statistics'],"['AWS', 'Python', 'Research Methods']",25.0,88.8
330,Research Scientist,ML Engineer,"['AWS', 'Statistics']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Python']",28.6,89.3
331,Software Engineer,ML Engineer,"['AWS', 'Docker', 'Python']","['MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",42.9,91.5
332,Research Scientist,ML Engineer,['Python'],"['AWS', 'Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",14.3,87.2
333,Software Engineer,ML Engineer,"['AWS', 'Docker', 'Python']","['MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",42.9,91.5
335,ML Engineer,MLOps Engineer,['AWS'],"['CI/CD', 'Cloud', 'Docker', 'Kubernetes', 'MLOps', 'Terraform']",14.3,87.2
336,Research Scientist,ML Engineer,"['AWS', 'Python', 'Statistics']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch']",42.9,91.5
338,Software Engineer,ML Engineer,"['AWS', 'Docker']","['MLOps', 'Machine Learning', 'PyTorch', 'Python', 'Statistics']",28.6,89.3
339,Data Analyst,Research Scientist,['Statistics'],"['AWS', 'Python', 'Research Methods']",25.0,88.8
341,Software Engineer,ML Engineer,"['AWS', 'Docker', 'Python']","['MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",42.9,91.5
342,ML Engineer,MLOps Engineer,"['AWS', 'Docker', 'MLOps']","['CI/CD', 'Cloud', 'Kubernetes', 'Terraform']",42.9,91.5
343,Data Analyst,Research Scientist,['Statistics'],"['AWS', 'Python', 'Research Methods']",25.0,88.8
345,Software Engineer,ML Engineer,['Python'],"['AWS', 'Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",14.3,87.2
346,Data Analyst,Research Scientist,[],"['AWS', 'Python', 'Research Methods', 'Statistics']",0.0,85.0
347,Research Scientist,ML Engineer,"['AWS', 'Python', 'Statistics']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch']",42.9,91.5
348,ML Engineer,MLOps Engineer,"['AWS', 'MLOps']","['CI/CD', 'Cloud', 'Docker', 'Kubernetes', 'Terraform']",28.6,89.3
349,Software Engineer,ML Engineer,"['AWS', 'Docker']","['MLOps', 'Machine Learning', 'PyTorch', 'Python', 'Statistics']",28.6,89.3
351,Research Scientist,ML Engineer,"['AWS', 'Python', 'Statistics']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch']",42.9,91.5
352,Research Scientist,ML Engineer,"['AWS', 'Statistics']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch', 'Python']",28.6,89.3
354,ML Engineer,MLOps Engineer,['AWS'],"['CI/CD', 'Cloud', 'Docker', 'Kubernetes', 'MLOps', 'Terraform']",14.3,87.2
355,ML Engineer,MLOps Engineer,"['AWS', 'Docker', 'MLOps']","['CI/CD', 'Cloud', 'Kubernetes', 'Terraform']",42.9,91.5
357,Research Scientist,ML Engineer,"['AWS', 'Python', 'Statistics']","['Docker', 'MLOps', 'Machine Learning', 'PyTorch']",42.9,91.5
362,ML Engineer,MLOps Engineer,"['AWS', 'MLOps']","['CI/CD', 'Cloud', 'Docker', 'Kubernetes', 'Terraform']",28.6,89.3
363,Software Engineer,ML Engineer,"['AWS', 'Docker', 'Python']","['MLOps', 'Machine Learning', 'PyTorch', 'Statistics']",42.9,91.5
