EmployeeID,EngagementScore,PerformanceRating,ManagerRating,TrainingHoursLastYear
347,64,2.0,5,28
348,61,3.0,3,31
349,63,2.0,1,40
350,71,1.0,3,40
351,76,3.0,2,38
352,80,3.0,1,17
353,49,3.0,5,15
354,59,4.0,1,17
355,41,1.0,3,5
356,68,2.0,5,2
357,71,1.0,5,24
358,67,4.0,1,56
359,73,1.0,2,0
360,51,1.0,3,54
361,58,3.0,1,48
362,70,2.0,3,9
363,83,2.0,3,57
364,72,2.0,4,59
365,47,2.0,3,2
366,65,2.0,5,49
367,61,1.0,4,56
368,82,4.0,3,42
369,62,2.0,3,2
370,50,4.0,1,30
371,58,2.0,5,0
372,73,4.0,1,3
373,78,4.0,5,25
374,48,4.0,1,40
375,65,2.0,3,52
376,59,4.0,3,41
377,91,4.0,5,32
378,37,2.0,3,6
379,71,4.0,3,20
380,57,1.0,3,54
381,77,2.0,5,29
382,86,3.0,5,53
383,88,2.0,1,42
384,34,1.0,4,56
385,81,2.0,2,5
386,75,1.0,1,19
387,61,3.0,4,5
388,75,2.0,2,23
389,85,4.0,4,41
390,46,4.0,3,31
391,63,2.0,2,12
392,81,4.0,5,46
393,75,2.0,3,46
394,88,2.0,5,39
395,54,2.0,1,36
396,61,2.0,3,22
397,68,3.0,3,31
398,64,4.0,4,56
399,76,2.0,3,3
400,67,3.0,3,57
401,66,3.0,5,22
402,53,4.0,3,27
403,65,4.0,1,41
404,43,4.0,2,40
405,37,2.0,2,2
406,60,1.0,3,24
407,59,2.0,2,17
408,58,3.0,4,49
409,84,1.0,3,57
410,72,1.0,5,33
411,68,1.0,3,46
412,76,3.0,4,27
413,30,2.0,4,0
414,77,2.0,4,25
415,92,1.0,2,45
416,78,1.0,2,49
417,65,2.0,3,25
418,93,1.0,2,3
419,76,4.0,5,57
420,50,2.0,2,15
421,55,2.0,1,46
422,61,3.0,1,20
423,93,1.0,5,31
424,81,2.0,1,26
425,74,1.0,3,32
426,80,3.0,3,48
427,72,1.0,4,41
428,62,3.0,5,38
429,76,3.0,5,26
430,64,4.0,1,54
431,48,4.0,3,2
432,88,4.0,3,1
433,31,2.0,3,50
434,76,2.0,4,15
435,67,2.0,4,17
436,90,1.0,1,22
437,86,4.0,4,26
438,43,1.0,4,5
439,63,2.0,4,52
440,52,2.0,3,52
441,55,3.0,4,4
442,63,4.0,3,30
443,50,2.0,2,51
444,64,4.0,5,50
445,73,4.0,2,21
446,69,3.0,5,10
447,81,4.0,4,9
448,97,3.0,5,52
449,68,1.0,2,58
450,62,1.0,5,21
451,59,1.0,2,44
452,66,3.0,4,20
453,81,4.0,1,47
454,74,1.0,4,42
455,70,4.0,3,32
456,67,2.0,2,39
457,85,3.0,3,42
458,62,3.0,5,19
459,69,3.0,5,36
460,63,1.0,3,8
461,64,3.0,1,9
462,57,4.0,2,5
463,88,2.0,4,26
464,67,2.0,2,43
465,24,2.0,2,55
466,69,4.0,4,4
467,61,3.0,1,0
468,70,2.0,5,17
469,58,1.0,4,15
470,56,3.0,1,34
471,86,1.0,2,47
472,83,4.0,2,14
473,73,1.0,4,45
474,60,3.0,4,7
475,50,2.0,1,54
476,63,1.0,4,41
477,65,4.0,1,59
478,42,2.0,3,32
479,47,1.0,4,2
480,73,4.0,3,56
481,73,2.0,1,6
482,81,2.0,1,3
483,84,4.0,2,21
484,62,1.0,3,39
485,62,2.0,5,25
486,65,1.0,5,23
487,63,2.0,3,10
488,61,1.0,5,18
489,61,3.0,4,47
490,59,4.0,3,57
491,52,2.0,4,57
492,68,4.0,1,21
493,50,1.0,1,41
494,39,2.0,5,54
495,94,3.0,5,32
496,79,1.0,2,25
497,65,3.0,2,51
498,55,4.0,1,50
499,55,2.0,1,43
500,69,2.0,2,41
501,61,1.0,3,46
502,76,1.0,2,37
503,100,1.0,2,46
504,50,1.0,1,37
505,59,3.0,2,4
506,72,3.0,3,35
507,69,3.0,5,0
508,77,2.0,3,54
509,61,3.0,4,17
510,55,4.0,4,50
511,77,2.0,2,25
512,78,2.0,2,56
513,73,2.0,2,16
514,61,3.0,3,9
515,85,3.0,3,34
516,100,4.0,2,2
517,69,1.0,1,29
518,67,3.0,2,46
519,66,4.0,5,30
520,66,4.0,2,26
521,64,1.0,5,27
522,46,4.0,4,46
523,63,4.0,5,39
524,61,4.0,3,51
525,79,4.0,5,16
526,56,1.0,3,3
527,84,2.0,1,29
528,49,2.0,4,57
529,51,1.0,5,57
530,75,2.0,5,46
531,55,2.0,3,13
532,60,4.0,1,35
533,79,3.0,4,5
534,90,3.0,2,0
535,84,3.0,4,10
536,54,3.0,3,37
537,80,3.0,2,16
538,63,4.0,3,14
539,100,3.0,2,53
540,87,3.0,5,35
541,50,3.0,2,8
542,66,3.0,3,0
543,34,4.0,3,2
544,83,2.0,2,50
545,78,1.0,3,35
546,78,4.0,3,55
547,88,3.0,4,14
548,64,4.0,3,41
549,72,2.0,4,57
550,85,4.0,4,56
551,54,1.0,3,23
552,51,2.0,3,52
553,67,1.0,2,11
554,69,3.0,3,56
555,67,1.0,1,26
556,69,2.0,2,58
557,63,3.0,3,58
558,81,1.0,4,59
559,82,4.0,1,48
560,52,1.0,4,59
561,60,3.0,4,18
562,79,1.0,4,7
563,62,4.0,5,12
564,94,1.0,2,6
565,50,3.0,1,6
566,100,2.0,3,2
567,82,2.0,1,50
568,58,3.0,2,55
569,78,3.0,1,27
570,31,3.0,2,41
571,66,4.0,2,57
572,53,4.0,2,36
573,59,3.0,2,54
574,100,4.0,5,7
575,86,1.0,3,47
576,64,2.0,2,43
577,0,4.0,3,55
578,96,3.0,5,56
579,45,2.0,3,46
580,86,3.0,5,26
581,61,4.0,5,1
582,81,4.0,5,15
583,77,3.0,3,4
584,67,1.0,2,19
585,78,2.0,2,20
586,89,2.0,4,36
587,94,4.0,2,58
588,64,1.0,5,5
589,67,1.0,3,41
590,67,3.0,2,37
591,46,2.0,5,37
592,91,1.0,2,20
593,67,3.0,3,11
594,93,1.0,5,22
595,76,4.0,4,33
596,93,4.0,1,23
597,95,3.0,4,14
598,77,3.0,1,4
599,73,3.0,4,14
600,75,3.0,2,23
