EmployeeID,Age,Department,JobRole,MonthlyIncome,DistanceFromHome,YearsAtCompany,YearsSinceLastPromotion,NumCompaniesWorked,JobSatisfaction,WorkLifeBalance,OverTime,Attrition
38,31,Sales,Software Engineer,8355.0,3,8,2,1,4.0,3.0,No,No
39,34,IT,Data Analyst,1962.0,2,0,0,7,1.0,1.0,No,Yes
40,38,IT,HR Executive,3806.0,4,11,8,0,4.0,4.0,Yes,Yes
41,23,IT,Sales Executive,12522.0,22,1,1,4,1.0,2.0,No,Yes
42,45,IT,HR Executive,4210.0,16,0,0,6,4.0,1.0,No,Yes
43,23,IT,Sales Executive,7841.0,19,1,1,3,1.0,2.0,No,Yes
44,46,Sales,Research Scientist,7598.0,18,1,0,1,1.0,4.0,No,No
45,54,Sales,Research Scientist,5075.0,17,0,0,4,2.0,1.0,No,Yes
46,26,IT,MLOps Engineer,11516.0,17,3,0,7,3.0,2.0,No,Yes
47,29,IT,Data Analyst,10298.0,24,3,0,0,1.0,1.0,Yes,Yes
48,33,Research & Development,Sales Executive,9633.0,7,11,8,4,3.0,4.0,No,No
49,31,IT,Data Analyst,6848.0,10,9,6,0,1.0,3.0,No,Yes
50,51,Sales,ML Engineer,5830.0,15,7,6,3,1.0,4.0,No,Yes
51,33,Research & Development,HR Executive,1500.0,6,4,0,2,1.0,4.0,Yes,Yes
52,29,Sales,ML Engineer,5942.0,18,3,2,0,3.0,3.0,No,Yes
53,39,IT,ML Engineer,3862.0,4,5,2,6,2.0,3.0,No,Yes
54,30,IT,ML Engineer,4214.0,21,4,2,3,2.0,1.0,Yes,Yes
55,38,Sales,Software Engineer,5616.0,19,7,4,7,4.0,3.0,No,No
56,54,IT,ML Engineer,12138.0,4,3,0,7,3.0,3.0,No,Yes
57,25,Research & Development,ML Engineer,7345.0,10,19,3,7,4.0,2.0,No,Yes
58,41,Research & Development,Research Scientist,8383.0,11,12,12,0,1.0,1.0,No,Yes
59,43,IT,Software Engineer,6612.0,28,0,0,4,1.0,3.0,No,Yes
60,27,IT,HR Executive,5081.0,11,7,4,5,2.0,3.0,No,Yes
61,41,Sales,Data Analyst,7101.0,24,3,1,6,4.0,2.0,No,No
62,38,IT,ML Engineer,12337.0,15,3,0,0,4.0,1.0,Yes,Yes
63,34,Human Resources,MLOps Engineer,5301.0,22,7,7,2,2.0,4.0,No,No
64,44,Research & Development,Data Analyst,9425.0,9,5,0,1,4.0,1.0,Yes,Yes
65,42,IT,ML Engineer,4823.0,27,3,2,1,4.0,3.0,No,Yes
66,45,Research & Development,Sales Executive,3127.0,2,36,6,7,4.0,2.0,Yes,Yes
67,46,Sales,ML Engineer,5724.0,7,8,3,1,1.0,2.0,No,Yes
68,26,Sales,MLOps Engineer,2922.0,13,1,0,4,4.0,2.0,No,Yes
69,39,IT,Sales Executive,8067.0,2,1,0,1,2.0,2.0,No,Yes
70,44,Sales,Research Scientist,10657.0,18,0,0,1,4.0,3.0,Yes,Yes
71,41,IT,Research Scientist,5452.0,17,20,14,3,4.0,4.0,Yes,Yes
72,42,IT,Sales Executive,9090.0,24,5,5,0,,1.0,No,Yes
73,52,Sales,Data Analyst,11227.0,7,12,10,1,4.0,2.0,No,No
74,36,Research & Development,Data Analyst,6540.0,17,0,0,7,3.0,4.0,No,No
75,25,Sales,Research Scientist,6070.0,20,0,0,0,3.0,2.0,No,Yes
76,27,Sales,MLOps Engineer,10349.0,8,6,5,6,4.0,3.0,No,No
77,39,Sales,Data Analyst,5093.0,5,10,5,5,4.0,1.0,No,Yes
78,39,Sales,HR Executive,6601.0,19,2,1,3,2.0,2.0,No,Yes
79,26,IT,Software Engineer,5358.0,1,10,4,1,3.0,,No,No
80,36,Research & Development,Research Scientist,9479.0,12,5,0,3,3.0,2.0,No,Yes
81,39,Sales,Data Analyst,1500.0,1,1,1,7,2.0,1.0,No,Yes
82,44,IT,HR Executive,6336.0,4,1,0,0,2.0,3.0,No,Yes
83,36,Research & Development,MLOps Engineer,7289.0,4,3,2,7,2.0,4.0,No,Yes
84,33,Sales,Sales Executive,4547.0,16,0,0,1,4.0,4.0,No,Yes
85,41,Human Resources,Data Analyst,5983.0,12,4,1,0,4.0,4.0,No,No
86,27,Sales,Research Scientist,4322.0,12,0,0,7,4.0,3.0,No,No
87,49,Research & Development,HR Executive,6917.0,1,6,2,6,2.0,1.0,No,Yes
88,37,Research & Development,Data Analyst,12265.0,5,0,0,1,1.0,4.0,No,Yes
89,38,Sales,Sales Executive,7512.0,18,3,2,4,2.0,4.0,No,No
90,41,IT,Research Scientist,11296.0,10,4,3,0,4.0,3.0,Yes,Yes
91,27,Sales,HR Executive,5604.0,1,7,0,7,4.0,4.0,No,Yes
92,42,Human Resources,HR Executive,5056.0,22,2,1,5,1.0,2.0,No,Yes
93,40,Sales,Research Scientist,5440.0,14,0,0,6,2.0,4.0,No,No
94,36,Research & Development,Research Scientist,6957.0,10,7,1,3,1.0,3.0,No,Yes
95,40,Research & Development,Data Analyst,7825.0,26,3,3,2,1.0,3.0,No,No
96,37,Sales,Data Analyst,7689.0,27,3,2,7,4.0,1.0,No,Yes
97,37,IT,Sales Executive,7209.0,13,7,4,5,1.0,2.0,No,No
98,44,Human Resources,ML Engineer,8944.0,13,4,4,5,2.0,2.0,No,No
99,40,IT,Data Analyst,15057.0,19,8,6,3,4.0,4.0,No,No
100,35,Sales,ML Engineer,4244.0,11,1,0,0,3.0,4.0,No,No
101,26,Sales,Research Scientist,7293.0,1,3,1,3,2.0,4.0,Yes,No
102,40,Sales,Data Analyst,1606.0,21,3,2,6,2.0,4.0,No,Yes
103,38,Research & Development,HR Executive,9907.0,10,9,2,2,1.0,1.0,No,Yes
104,43,Human Resources,Software Engineer,9440.0,7,6,5,5,4.0,4.0,No,No
105,47,Sales,Sales Executive,8076.0,7,0,0,0,2.0,3.0,Yes,Yes
106,36,Human Resources,HR Executive,5579.0,25,1,1,3,1.0,1.0,No,Yes
107,36,Sales,Software Engineer,1500.0,14,7,1,5,3.0,3.0,No,Yes
108,46,Sales,MLOps Engineer,4534.0,29,5,2,1,1.0,3.0,Yes,Yes
109,26,IT,HR Executive,3051.0,9,14,8,5,4.0,4.0,No,Yes
110,19,Sales,HR Executive,1500.0,13,0,0,2,1.0,2.0,No,Yes
111,44,Research & Development,Research Scientist,1682.0,18,17,11,7,4.0,1.0,Yes,Yes
112,34,Research & Development,ML Engineer,2202.0,9,0,0,5,2.0,1.0,No,Yes
113,36,Research & Development,ML Engineer,3421.0,10,5,2,4,1.0,1.0,No,Yes
114,18,IT,Software Engineer,2316.0,4,0,0,1,1.0,1.0,No,Yes
115,28,Research & Development,Data Analyst,8458.0,27,6,6,6,1.0,2.0,No,Yes
116,37,Research & Development,Sales Executive,8496.0,7,6,6,1,4.0,3.0,Yes,Yes
117,46,Research & Development,HR Executive,5899.0,23,9,2,2,2.0,4.0,No,Yes
118,31,Human Resources,ML Engineer,4812.0,15,4,4,5,1.0,2.0,Yes,Yes
119,29,IT,ML Engineer,11879.0,20,8,7,7,1.0,3.0,No,Yes
120,51,sales,HR Executive,,7,7,1,3,1.0,1.0,No,Yes
121,55,Research & Development,HR Executive,5118.0,5,8,1,3,1.0,2.0,Yes,Yes
122,28,IT,HR Executive,8649.0,15,2,0,3,3.0,2.0,Yes,No
123,33,Research & Development,MLOps Engineer,7913.0,21,1,1,2,,4.0,No,No
124,30,Research & Development,HR Executive,7300.0,17,4,4,3,1.0,2.0,No,Yes
125,27,Sales,Research Scientist,13008.0,8,14,8,0,1.0,2.0,No,Yes
126,40,Research & Development,ML Engineer,7643.0,6,13,7,5,2.0,4.0,No,Yes
127,40,IT,ML Engineer,4725.0,26,5,4,4,4.0,1.0,No,Yes
128,33,IT,Software Engineer,10859.0,4,1,1,5,1.0,4.0,Yes,Yes
129,40,IT,HR Executive,11657.0,13,8,6,5,2.0,3.0,No,Yes
130,48,Research & Development,Sales Executive,4148.0,25,1,0,4,3.0,4.0,No,Yes
131,35,IT,Sales Executive,5366.0,11,13,13,1,4.0,4.0,Yes,No
132,36,IT,ML Engineer,1500.0,19,2,0,7,3.0,4.0,No,Yes
133,37,Research & Development,Research Scientist,11404.0,6,15,2,5,1.0,3.0,Yes,Yes
134,34,IT,Sales Executive,7329.0,1,0,0,4,4.0,1.0,No,No
135,40,Research & Development,Data Analyst,7515.0,7,14,14,4,2.0,1.0,No,Yes
136,36,Sales,Software Engineer,14548.0,13,17,9,6,2.0,4.0,No,Yes
137,41,IT,ML Engineer,1739.0,15,4,1,4,3.0,2.0,No,Yes
138,35,Human Resources,Data Analyst,5132.0,4,5,1,2,1.0,3.0,No,Yes
139,29,IT,Software Engineer,7125.0,14,1,0,1,4.0,4.0,Yes,No
140,39,Sales,Data Analyst,4517.0,24,15,3,2,3.0,1.0,No,Yes
141,36,Research & Development,HR Executive,8418.0,8,4,1,5,2.0,1.0,Yes,Yes
142,34,IT,Software Engineer,5680.0,29,6,6,6,4.0,3.0,No,No
143,42,Sales,Sales Executive,,17,2,0,7,1.0,2.0,No,Yes
144,34,IT,Research Scientist,11273.0,12,4,4,5,4.0,1.0,Yes,No
145,30,Sales,MLOps Engineer,4300.0,12,18,2,5,2.0,4.0,No,Yes
146,29,IT,Research Scientist,2427.0,7,3,1,4,2.0,2.0,Yes,Yes
147,36,IT,MLOps Engineer,,7,6,6,2,2.0,4.0,Yes,Yes
148,35,IT,HR Executive,3052.0,11,5,2,4,3.0,1.0,Yes,No
149,41,IT,Sales Executive,2763.0,27,3,3,0,3.0,,Yes,Yes
150,41,Sales,Sales Executive,7508.0,27,10,3,4,1.0,1.0,No,Yes
151,21,Research & Development,Software Engineer,6662.0,2,0,0,3,4.0,2.0,Yes,Yes
152,51,IT,Data Analyst,3592.0,16,0,0,6,4.0,4.0,No,No
153,37,IT,Research Scientist,1500.0,22,1,0,3,4.0,4.0,No,No
154,30,Human Resources,HR Executive,5150.0,8,6,3,2,3.0,4.0,No,No
155,58,IT,Sales Executive,10669.0,19,7,0,1,4.0,2.0,No,No
156,22,IT,MLOps Engineer,1500.0,9,5,3,1,2.0,4.0,No,No
157,32,Sales,MLOps Engineer,,2,2,0,6,1.0,2.0,No,No
158,24,IT,ML Engineer,7935.0,26,7,6,3,1.0,3.0,Yes,Yes
159,38,IT,Software Engineer,4912.0,16,9,6,0,1.0,4.0,No,Yes
160,35,Research & Development,Data Analyst,4650.0,27,20,2,6,4.0,1.0,No,Yes
161,47,Sales,Research Scientist,,24,0,0,0,1.0,3.0,No,Yes
162,32,Research & Development,Data Analyst,3630.0,23,1,0,2,1.0,2.0,Yes,Yes
163,30,Research & Development,MLOps Engineer,9624.0,14,1,1,5,4.0,4.0,No,No
164,52,Research & Development,Research Scientist,2383.0,18,3,2,5,1.0,3.0,Yes,Yes
165,44,Research & Development,Software Engineer,5411.0,14,5,0,4,4.0,3.0,Yes,No
166,24,Human Resources,HR Executive,9332.0,12,4,3,4,3.0,3.0,No,No
167,22,Research & Development,Research Scientist,6472.0,19,0,0,3,2.0,1.0,Yes,Yes
168,31,Research & Development,Data Analyst,5434.0,19,1,0,2,1.0,2.0,No,Yes
169,45,Research & Development,ML Engineer,4882.0,8,4,4,6,4.0,2.0,Yes,Yes
170,47,IT,Research Scientist,9511.0,25,5,5,1,3.0,,No,No
171,40,Sales,HR Executive,5594.0,15,2,2,5,4.0,1.0,No,Yes
172,25,Sales,MLOps Engineer,5154.0,23,1,0,7,1.0,1.0,No,Yes
173,30,Sales,HR Executive,1610.0,25,0,0,1,2.0,1.0,Yes,Yes
174,38,IT,Research Scientist,7324.0,27,1,1,1,3.0,4.0,No,No
175,43,IT,Research Scientist,9036.0,4,4,2,2,4.0,2.0,Yes,Yes
176,38,Human Resources,Data Analyst,3758.0,19,31,10,4,1.0,3.0,Yes,Yes
177,32,Research & Development,MLOps Engineer,8610.0,16,6,2,0,3.0,4.0,Yes,Yes
178,40,IT,Research Scientist,1500.0,2,18,14,4,1.0,3.0,Yes,Yes
179,27,Sales,MLOps Engineer,6307.0,16,6,6,2,1.0,4.0,No,Yes
180,33,Sales,Software Engineer,12114.0,20,7,1,3,3.0,3.0,Yes,No
181,25,IT,Sales Executive,3867.0,25,4,1,2,3.0,1.0,Yes,Yes
182,31,Research & Development,Sales Executive,2290.0,8,2,0,5,2.0,4.0,No,Yes
183,30,Sales,ML Engineer,4993.0,21,0,0,3,3.0,2.0,Yes,Yes
184,43,Human Resources,Software Engineer,8210.0,1,1,0,2,1.0,2.0,Yes,Yes
185,38,human resources,Data Analyst,7867.0,13,3,3,6,3.0,4.0,Yes,Yes
186,36,Research & Development,Sales Executive,4169.0,29,3,2,7,4.0,4.0,Yes,Yes
187,47,Sales,Sales Executive,8805.0,14,1,0,0,4.0,1.0,No,Yes
188,37,Research & Development,MLOps Engineer,1832.0,8,6,3,1,1.0,4.0,No,Yes
189,32,Research & Development,ML Engineer,9078.0,1,4,3,5,2.0,1.0,No,Yes
190,54,Research & Development,Software Engineer,8811.0,11,5,1,2,2.0,3.0,No,Yes
191,60,Research & Development,Research Scientist,4774.0,4,10,6,1,1.0,2.0,No,Yes
192,40,Research & Development,MLOps Engineer,6386.0,6,3,3,0,,4.0,No,Yes
193,37,Sales,ML Engineer,1500.0,11,0,0,2,1.0,4.0,No,Yes
194,46,Sales,Software Engineer,4297.0,1,5,0,6,1.0,3.0,No,Yes
195,44,Research & Development,Sales Executive,11902.0,13,4,0,6,1.0,4.0,Yes,Yes
196,49,IT,HR Executive,7866.0,25,17,9,0,2.0,,Yes,Yes
197,37,Research & Development,Data Analyst,6654.0,2,1,0,3,4.0,2.0,No,Yes
198,40,Research & Development,Software Engineer,5176.0,15,1,1,7,4.0,2.0,No,Yes
199,48,Sales,Sales Executive,7879.0,12,1,0,5,1.0,,Yes,Yes
200,36,Sales,ML Engineer,,8,6,1,1,2.0,1.0,No,Yes
201,28,Research & Development,MLOps Engineer,10865.0,27,4,2,0,2.0,2.0,No,Yes
202,34,Research & Development,Sales Executive,8183.0,18,2,1,0,3.0,4.0,Yes,Yes
203,27,Human Resources,HR Executive,4860.0,28,9,8,2,,4.0,Yes,Yes
204,38,Research & Development,Sales Executive,5746.0,8,0,0,2,3.0,2.0,No,No
205,34,Human Resources,Sales Executive,4980.0,24,20,10,7,2.0,4.0,Yes,Yes
206,37,Research & Development,HR Executive,6824.0,21,11,7,7,1.0,1.0,No,Yes
207,42,Sales,Research Scientist,2728.0,19,8,3,7,4.0,4.0,No,Yes
208,28,IT,Sales Executive,1622.0,29,3,1,1,1.0,1.0,No,Yes
209,47,sales,HR Executive,1500.0,22,11,5,6,3.0,2.0,No,Yes
210,18,Human Resources,ML Engineer,8171.0,12,0,0,1,2.0,2.0,Yes,Yes
211,40,Research & Development,Sales Executive,6944.0,12,0,0,7,1.0,2.0,Yes,Yes
212,37,Research & Development,Research Scientist,7770.0,5,4,4,1,3.0,2.0,No,Yes
213,47,Sales,MLOps Engineer,15503.0,21,3,3,5,1.0,1.0,Yes,Yes
214,33,IT,MLOps Engineer,6546.0,24,0,0,7,1.0,2.0,No,Yes
215,37,Sales,HR Executive,7917.0,2,6,2,2,4.0,3.0,Yes,Yes
216,18,Research & Development,Software Engineer,7093.0,14,2,2,5,4.0,4.0,No,No
217,37,sales,Software Engineer,9453.0,25,17,5,4,2.0,1.0,No,Yes
218,35,Human Resources,Software Engineer,8780.0,7,1,1,6,3.0,1.0,No,Yes
219,39,Sales,HR Executive,3006.0,15,3,0,3,3.0,4.0,No,Yes
220,29,Sales,MLOps Engineer,6098.0,25,5,0,0,4.0,1.0,Yes,Yes
221,36,IT,MLOps Engineer,4690.0,27,14,2,5,4.0,3.0,No,No
222,19,Research & Development,Software Engineer,3393.0,25,0,0,4,1.0,,No,Yes
223,45,Human Resources,Software Engineer,8515.0,23,1,1,0,3.0,2.0,No,Yes
224,28,IT,Software Engineer,10384.0,7,5,3,3,3.0,1.0,No,Yes
225,34,IT,MLOps Engineer,10468.0,2,5,2,1,2.0,2.0,Yes,Yes
226,27,Sales,MLOps Engineer,3059.0,23,2,1,1,1.0,4.0,No,Yes
227,43,Research & Development,Software Engineer,4896.0,15,7,7,6,4.0,3.0,Yes,Yes
228,33,IT,ML Engineer,1500.0,14,5,0,2,,4.0,No,No
229,30,Sales,Sales Executive,6556.0,17,3,3,2,1.0,2.0,No,No
230,18,IT,ML Engineer,12857.0,21,6,4,7,4.0,3.0,Yes,Yes
231,44,Research & Development,MLOps Engineer,6492.0,8,5,5,0,1.0,4.0,No,Yes
232,35,Research & Development,Software Engineer,8435.0,9,4,1,1,2.0,2.0,No,Yes
233,40,Human Resources,Research Scientist,12473.0,12,3,2,3,3.0,2.0,Yes,Yes
234,41,IT,ML Engineer,5751.0,21,4,4,2,3.0,2.0,No,Yes
235,32,Research & Development,HR Executive,7009.0,12,2,1,6,1.0,1.0,No,Yes
236,41,Research & Development,Sales Executive,6340.0,20,0,0,3,1.0,4.0,No,Yes
237,21,Sales,HR Executive,7861.0,3,10,1,2,4.0,4.0,No,No
238,37,IT,HR Executive,3204.0,5,15,10,3,2.0,1.0,No,Yes
239,50,Sales,Data Analyst,3644.0,8,8,5,3,3.0,3.0,No,Yes
240,40,IT,Research Scientist,11435.0,27,4,0,6,2.0,2.0,No,No
241,22,Research & Development,Data Analyst,1500.0,16,5,4,0,4.0,4.0,No,Yes
242,28,Research & Development,Research Scientist,1841.0,12,3,1,3,2.0,4.0,Yes,Yes
243,36,Research & Development,Software Engineer,4104.0,19,6,4,6,4.0,4.0,No,No
244,50,Research & Development,MLOps Engineer,3048.0,12,2,0,3,1.0,2.0,No,Yes
245,34,Sales,Software Engineer,8560.0,1,8,6,3,4.0,4.0,No,No
246,32,IT,Data Analyst,1500.0,1,3,3,6,4.0,4.0,Yes,No
247,35,Sales,Software Engineer,5284.0,8,4,4,5,2.0,2.0,No,Yes
248,31,it,HR Executive,8198.0,24,1,0,1,1.0,2.0,Yes,Yes
249,48,Sales,HR Executive,1500.0,23,9,7,1,4.0,2.0,No,Yes
250,27,IT,HR Executive,9840.0,16,9,5,5,2.0,,No,No
251,44,Sales,Data Analyst,7901.0,24,5,1,7,3.0,2.0,No,No
252,26,Sales,Sales Executive,7066.0,14,2,2,0,3.0,3.0,Yes,Yes
253,31,Sales,Software Engineer,12944.0,21,3,1,0,3.0,,No,No
254,33,Research & Development,Research Scientist,,18,8,4,0,4.0,4.0,No,No
255,46,Research & Development,Sales Executive,2817.0,13,1,0,0,1.0,1.0,No,Yes
256,42,Human Resources,Data Analyst,4069.0,29,0,0,7,3.0,3.0,Yes,Yes
257,52,IT,HR Executive,8518.0,14,4,3,2,1.0,3.0,No,Yes
258,41,Sales,Software Engineer,8253.0,8,11,2,7,2.0,4.0,Yes,Yes
259,32,Research & Development,Research Scientist,4692.0,22,3,1,7,2.0,3.0,No,Yes
260,34,Research & Development,Sales Executive,3505.0,12,0,0,1,3.0,4.0,No,Yes
261,31,Sales,Data Analyst,4631.0,16,1,0,0,1.0,2.0,No,Yes
262,23,Research & Development,Research Scientist,6532.0,6,0,0,1,2.0,4.0,Yes,Yes
263,45,IT,MLOps Engineer,6123.0,19,0,0,3,3.0,4.0,No,No
264,46,Research & Development,Sales Executive,2841.0,26,0,0,1,2.0,4.0,No,Yes
265,49,Sales,Data Analyst,6286.0,21,0,0,6,2.0,2.0,No,Yes
266,29,Human Resources,MLOps Engineer,8285.0,27,6,5,4,2.0,3.0,No,Yes
267,19,Research & Development,Sales Executive,4619.0,29,0,0,1,1.0,4.0,Yes,Yes
268,36,IT,HR Executive,5109.0,23,0,0,6,2.0,1.0,Yes,Yes
269,31,Sales,HR Executive,9925.0,4,3,3,2,3.0,4.0,Yes,Yes
270,32,Research & Development,Research Scientist,6570.0,12,5,1,6,2.0,1.0,No,Yes
271,40,IT,HR Executive,2930.0,15,1,1,0,3.0,3.0,Yes,Yes
272,45,IT,MLOps Engineer,5409.0,4,1,1,1,4.0,3.0,No,No
273,21,Human Resources,ML Engineer,12249.0,10,0,0,0,2.0,4.0,No,Yes
274,40,IT,Research Scientist,9142.0,28,10,2,3,4.0,4.0,Yes,No
275,38,Research & Development,ML Engineer,6403.0,25,3,3,3,2.0,4.0,No,Yes
276,55,IT,MLOps Engineer,6392.0,6,0,0,1,1.0,2.0,No,Yes
277,29,IT,Research Scientist,6185.0,15,2,2,0,3.0,4.0,Yes,Yes
278,38,Research & Development,MLOps Engineer,8742.0,5,3,0,1,3.0,2.0,No,Yes
279,57,Research & Development,Research Scientist,8906.0,16,0,0,5,2.0,1.0,No,No
280,34,Human Resources,HR Executive,5025.0,4,1,1,6,2.0,1.0,No,Yes
281,18,Research & Development,Data Analyst,3832.0,14,22,5,2,2.0,1.0,Yes,Yes
282,36,IT,ML Engineer,10320.0,10,6,6,0,1.0,3.0,No,Yes
283,35,Human Resources,Data Analyst,5192.0,20,0,0,5,3.0,4.0,Yes,Yes
284,28,Research & Development,MLOps Engineer,2515.0,4,4,1,3,2.0,1.0,No,Yes
285,59,IT,Data Analyst,7397.0,18,0,0,1,1.0,4.0,No,Yes
286,43,Human Resources,HR Executive,1500.0,6,4,1,2,,2.0,Yes,Yes
287,32,Sales,Software Engineer,7039.0,29,0,0,0,2.0,4.0,No,Yes
288,53,Sales,Research Scientist,13546.0,17,2,1,7,2.0,4.0,No,No
289,37,research & development,Sales Executive,3654.0,1,14,14,0,4.0,2.0,No,Yes
290,30,Sales,HR Executive,7667.0,23,0,0,3,1.0,3.0,No,Yes
291,40,IT,MLOps Engineer,4156.0,19,4,0,0,1.0,3.0,No,Yes
292,41,Research & Development,Software Engineer,3726.0,5,6,0,4,1.0,3.0,No,Yes
293,52,IT,Data Analyst,7964.0,24,2,1,2,2.0,4.0,No,No
294,30,Research & Development,Research Scientist,8868.0,28,2,0,5,1.0,2.0,No,Yes
295,46,Research & Development,MLOps Engineer,9218.0,24,4,4,0,4.0,2.0,No,Yes
296,23,Sales,Software Engineer,1712.0,17,6,4,1,2.0,2.0,Yes,Yes
297,37,Sales,HR Executive,1943.0,5,11,7,1,2.0,2.0,No,Yes
298,46,Research & Development,Data Analyst,10073.0,1,0,0,1,4.0,2.0,Yes,Yes
299,46,Research & Development,HR Executive,11494.0,11,5,5,6,3.0,2.0,No,Yes
300,36,IT,HR Executive,11784.0,10,0,0,0,4.0,1.0,Yes,No
301,45,Human Resources,Sales Executive,7408.0,3,5,0,2,3.0,4.0,Yes,No
302,38,Human Resources,HR Executive,9881.0,15,1,0,3,4.0,4.0,Yes,Yes
303,37,Research & Development,HR Executive,4783.0,16,1,0,2,2.0,4.0,No,No
304,34,IT,HR Executive,2538.0,1,2,0,0,3.0,4.0,Yes,No
305,31,Research & Development,ML Engineer,1743.0,11,1,0,1,3.0,,No,Yes
306,41,Sales,ML Engineer,6286.0,25,0,0,5,3.0,4.0,Yes,No
307,45,Research & Development,HR Executive,8964.0,17,15,14,5,2.0,,No,Yes
308,46,Sales,Sales Executive,10473.0,25,13,10,0,3.0,1.0,No,Yes
309,39,Sales,HR Executive,5585.0,11,5,5,2,1.0,4.0,No,No
310,34,Sales,HR Executive,5281.0,21,0,0,0,3.0,1.0,No,Yes
311,38,Human Resources,MLOps Engineer,7971.0,3,3,3,3,2.0,3.0,No,No
312,32,Sales,MLOps Engineer,1500.0,10,3,1,2,4.0,2.0,Yes,Yes
313,39,IT,Data Analyst,1500.0,10,4,2,6,2.0,2.0,No,Yes
314,34,IT,Sales Executive,,23,0,0,2,4.0,1.0,No,Yes
315,32,IT,ML Engineer,2835.0,24,3,1,4,4.0,4.0,No,No
316,40,IT,Research Scientist,1500.0,27,5,3,4,2.0,2.0,No,Yes
317,36,Research & Development,Software Engineer,5246.0,7,11,8,5,3.0,3.0,Yes,Yes
318,37,Research & Development,Research Scientist,16350.0,13,1,1,6,4.0,3.0,No,No
319,49,IT,Software Engineer,8341.0,3,6,5,4,4.0,4.0,No,No
320,37,Sales,Sales Executive,5025.0,29,2,1,3,3.0,1.0,Yes,Yes
321,43,Sales,HR Executive,3198.0,10,2,2,7,3.0,,Yes,Yes
322,41,Research & Development,HR Executive,9777.0,9,10,1,2,1.0,4.0,No,Yes
323,18,Research & Development,MLOps Engineer,4753.0,26,12,3,1,3.0,3.0,No,Yes
324,39,Research & Development,ML Engineer,3156.0,9,0,0,2,4.0,1.0,No,Yes
325,34,IT,Software Engineer,8725.0,12,1,1,7,2.0,3.0,No,Yes
